GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,# Label Questions,# Input Questions,Time Per Round
"Map(IsObject(Bride), Smile, GetAbove)",wedding,CCE,SmartLabel,TIMEOUT,3.1013687920058146,1200.0124030840234,1414,7,336,1198,9.659511472982976,1.1332020997375327,153,153,52,"[102.8690427080146, 89.0759965829784, 46.09973291697679, 25.090321791998576, 10.945260750013404, 9.738796291989274, 8.182619334023912, 8.129532958962955, 8.167328875046223, 8.079192833043635, 6.876447874994483, 6.936185166996438, 6.937537708028685, 6.88159991602879, 6.87590058404021, 6.881829250021838, 6.88434370898176, 6.857356082997285, 6.871502832975239, 6.9576004589907825, 6.89646229200298, 6.818038875004277, 6.70851466699969, 6.64817545801634, 6.648259000037797, 6.663843207992613, 6.627376624965109, 6.639971332973801, 6.615914000023622, 6.522226834029425, 6.96652862499468, 6.5045071670319885, 6.561838541994803, 6.5023719589808024, 6.511260374973062, 6.6067313340026885, 6.707070250005927, 6.6356315419543535, 6.550122249987908, 6.685890333959833, 6.630784249980934, 6.619507083029021, 6.42769095901167, 6.430790292040911, 6.430668291985057, 6.604884458007291, 6.582236999995075, 6.6538778329850174, 6.6637509589781985, 6.596494957979303, 6.580650209041778, 6.5823326670215465, 6.593179500021506, 6.574240375019144, 6.603506625047885, 6.5760376660036854, 6.60283241700381, 6.6407340000150725, 6.577280165976845, 6.562246125016827, 6.625908375019208, 6.58019254100509, 6.5584498749813065, 6.552970208984334, 6.521736041002441, 6.50200441700872, 6.5850998750538565, 6.565848500002176, 6.519376833981369, 6.470514042011928, 6.481962499965448, 6.539434333040845, 6.462061875034124, 6.4584191250032745, 6.480410124990158, 6.462536624982022, 6.51688633300364, 6.481583374959882, 6.1459226660081185, 6.000966917024925, 5.962077750009485, 5.8917676659766585, 5.873405250022188, 5.858389290980995, 5.849787916988134, 5.882005207997281, 5.936294957995415, 5.84895424998831, 5.852150000049733, 5.84984166698996, 5.85386999999173, 5.851400249986909, 5.8514181660139, 5.846131291997153, 5.899902124947403, 5.872155874967575, 5.89020145800896, 5.906130457995459, 5.832491374982055, 5.8301861669751815, 5.841873749974184, 5.843961499980651, 5.826494750042912, 5.822058999969158, 5.81881487503415, 5.824408583051991, 5.877424957987387, 5.947060542006511, 5.807115000032354, 5.8004206659970805, 5.8068279580329545, 5.784977125003934, 5.781616874970496, 5.799074207956437, 5.812559915997554, 5.785018916008994, 5.794004625000525, 5.306333584012464, 5.779452790971845, 5.7930729579529725, 5.795157790998928, 5.784623332961928, 5.765790208010003, 5.7611914580338635, 5.6797105420264415, 5.646034833043814, 5.66660579200834, 5.744206584000494, 5.721908375038765, 5.642002499953378, 5.710942916979548, 5.6510906660114415, 5.658202374994289, 5.658159041020554, 5.635752208007034, 5.6265187920071185, 5.632891042041592, 5.597885874973144, 5.720994916977361, 5.560683833027724, 5.556335582979955, 5.561674416996539, 5.608623959007673, 5.60683520801831, 5.529030000034254, 5.521983125014231, 5.429424292000476, 5.397558250057045, 5.406876124965493, 5.44908900000155, 5.372977999970317, 5.363581917015836, 5.328654667013325]"
"Map(IsObject(Guitar), IsObject(Face), GetAbove)",festival,CCE,SmartLabel,True,1.7084218329982832,278.43684112501796,1160,1,338,1522,13.528524590163935,1.1565137130801688,3,3,3,"[169.5716916670208, 103.9275387909729, 4.865791874995921]"
"Map(IsObject(Microphone), IsObject(Face), GetAbove)",festival,CCE,SmartLabel,True,1.8230204170104116,158.06074958399404,33,1,338,1522,13.528524590163935,1.1565137130801688,3,3,2,"[104.9946390830446, 43.68806787504582, 9.303198000008706]"
"Map(IsObject(Guitar), Map(IsObject(Microphone), IsObject(Face), GetAbove), GetAbove)",festival,CCE,SmartLabel,True,1.547457457985729,26.287571375025436,8,1,338,1524,13.528524590163935,1.1565137130801688,1,1,1,[26.17190804198617]
"Map(IsObject(Microphone), Smile, GetAround)",festival,CCE,SmartLabel,True,1.0931030840147287,213.342715375009,120,1,338,1522,13.528524590163935,1.1565137130801688,3,3,3,"[175.39966137503507, 26.575651416031178, 11.252095667005051]"
"Union[IsObject(Speaker), IsObject(Microphone), IsObject(Guitar)]",festival,CCE,SmartLabel,True,5.8832297080080025,68.6448995830142,22,1,338,1524,13.528524590163935,1.1565137130801688,1,1,0,[68.53729304199805]
"Map(IsObject(Person), IsObject(Bicycle), GetBelow)",cars,CCE,SmartLabel,True,1.5755680000293069,79.15611766697839,99,1,116,615,15.217532467532468,1.1502403846153846,1,1,1,[79.09999900002731]
"Map(IsObject(Bicycle), IsObject(Car), GetNotAround)",cars,CCE,SmartLabel,True,2.532038083008956,481.77198945899727,165,1,116,606,15.217532467532468,1.1502403846153846,10,10,3,"[70.06670187501004, 58.05971295799827, 59.15310000005411, 56.98463000002084, 54.98010595800588, 56.50382537499536, 55.2735448339954, 56.99756329099182, 11.813622499990743, 1.9049302089842968]"
"Map(Smile, IsObject(Bicycle), GetBelow)",cars,CCE,SmartLabel,True,1.7119052909547463,79.22463533299742,73,1,116,613,15.217532467532468,1.1502403846153846,3,3,3,"[70.57554437499493, 5.85097562498413, 2.7591021249536425]"
"Map(Map(IsObject(Helmet), IsObject(Person), GetBelow), IsObject(Bicycle), GetBelow)",cars,CCE,SmartLabel,True,1.0738156660227105,66.78856512496714,91,1,116,614,15.217532467532468,1.1502403846153846,2,2,1,"[64.07558933302062, 2.6555488749872893]"
"Map(IsObject(Car), IsObject(Face), GetContains)",cars,CCE,SmartLabel,True,2.4370308329816908,199.9023701659753,1059,1,116,610,15.217532467532468,1.1502403846153846,6,6,5,"[78.23127212497639, 84.33981779200258, 22.811373416043352, 8.055862166977022, 5.483061375038233, 0.9640275840065442]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Car), IsObject(Face), GetContains))]",cars,CCE,SmartLabel,True,1.4024421249632724,323.68984066694975,521,1,116,610,15.217532467532468,1.1502403846153846,6,6,2,"[56.989424957952, 51.70107045903569, 55.13881970802322, 54.2631199999596, 52.11845812498359, 53.38834508298896]"
"Union[IsObject(Bicycle), IsObject(Car)]",cars,CCE,SmartLabel,True,1.0957259999704547,2.9989915829501115,3,1,116,615,15.217532467532468,1.1502403846153846,1,1,0,[2.9627732500084676]
"Map(IsObject(Hat), IsObject(Face), GetBelow)",cars,CCE,SmartLabel,True,1.3600420409929939,416.1814229169977,1159,1,116,609,15.217532467532468,1.1502403846153846,7,7,6,"[84.71055624994915, 75.49070370901609, 57.20128474995727, 55.94085712498054, 52.98832104104804, 47.5577226250316, 42.26460520795081]"
