GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,RefineHS Time,Select Question Time,Distinguish Time
"Map(IsObject(Car), Union[IsObject(Person), IsObject(Bicycle)], GetContains)",cars,CCE,SmartLabel,True,3.5839518329594284,159.09793604211882,419,1,5,"[5.989275082945824, 20.211008915910497, 112.13284724997357, 18.036071208072826, 2.6679313329514116]",4.487791332881898,145.17489433381706,13.013895208016038
"Intersection[EyesOpen, Complement(Map(IsObject(Car), EyesOpen, GetContains))]",cars,CCE,SmartLabel,True,7.09903912502341,27.59764804202132,1123,1,3,"[9.0979549579788, 9.707822833908722, 8.637512124842033]",11.958745666779578,21.164573666173965,1.5694109993055463
"Map(IsObject(Person), IsObject(Car), GetIsContained)",cars,CCE,SmartLabel,True,3.4779335830826312,4.685355332912877,215,2,1,[4.509948374936357],3.5592674580402672,4.42817641608417,0.17402533302083611
"Map(Map(IsObject(Helmet), IsObject(Person), GetBelow), IsObject(Bicycle), GetBelow)",cars,CCE,SmartLabel,True,4.68113987497054,12.90012887492776,413,1,5,"[6.135171625064686, 5.099376291967928, 1.224470749963075, 0.23760995781049132, 0.1440988329704851]",4.9621314578689635,11.188195499125868,1.4296191660687327
"Intersection[IsObject(Bicycle), Complement(Map(IsObject(Person), IsObject(Bicycle), GetBelow))]",cars,CCE,SmartLabel,True,2.65239370893687,11.243604458170012,482,1,5,"[4.444191334070638, 4.1537914159707725, 1.9899901249445975, 0.3982820420060307, 0.1726302090100944]",2.934534999774769,10.455838917056099,0.5043423329479992
"Intersection[IsObject(Bicycle), Complement(Map(EyesOpen, IsObject(Bicycle), GetBelow))]",cars,CCE,SmartLabel,True,5.052866166923195,12.191847749985754,525,1,3,"[4.41913262498565, 6.515590958064422, 1.165776666952297]",5.545961166033521,9.619281833060086,2.078485874691978
"Union[IsObject(Bicycle), IsObject(Car), IsObject(Person)]",cars,CCE,SmartLabel,True,2.6665129167959094,66.1060707080178,374,1,3,"[4.060971833998337, 5.20235341694206, 56.79732749983668]",3.125808249693364,65.59199366602115,0.053303333930671215
"Map(IsObject(Bicycle), Union[Smile, EyesOpen], GetAbove)",cars,CCE,SmartLabel,True,3.761647375067696,10.595461749937385,3,1,12,"[0.2899921250063926, 0.5336878749076277, 0.5454485830850899, 0.5321624579373747, 1.0650961250066757, 1.0969449579715729, 1.0591291252058, 1.0513144580181688, 1.0718660419806838, 1.0693347079213709, 1.0928856669925153, 1.0925605411175638]",3.7877427095081657,10.42762229219079,0.13976799976080656
"Intersection[IsObject(Face), Complement(Map(IsObject(Bicycle), IsObject(Face), GetAbove))]",cars,CCE,SmartLabel,True,3.5425607920624316,12.778223207918927,205,1,3,"[5.290083958068863, 4.823916167020798, 2.571797209093347]",3.6661997919436544,11.760771959321573,0.8922477921005338
"Union[IsObject(Cat), IsObject(Face)]",cats,CCE,SmartLabel,True,1.4651768750045449,5.003051582956687,6764,1,3,"[3.304858749965206, 1.441547832917422, 0.25024050008505583]",2.94309191708453,3.1372178758028895,0.38686945801600814
"Union[IsObject(Cat), EyesOpen]",cats,CCE,SmartLabel,True,1.3748534589540213,10.615842791972682,6764,95,5,"[3.4452860420569777, 1.444763374980539, 1.5442504999227822, 1.4879685840569437, 1.4091638340614736]",2.8514255837071687,7.46587900002487,1.6716642077080905
"Intersection[IsObject(Cat), Complement(Map(IsObject(Cat), IsObject(Cat), GetBelow))]",cats,CCE,SmartLabel,True,1.3675106670707464,42.793160791974515,6764,1,16,"[3.197783541865647, 1.9431412499397993, 2.0408832079265267, 2.1224464578554034, 2.106659415876493, 2.31745466706343, 2.2782816670369357, 2.546527792001143, 2.4088637090753764, 2.7016214998438954, 2.93821358284913, 2.9157662498764694, 3.25312712485902, 3.1166970829945058, 3.2644682498648763, 3.628036290872842]",13.08692429587245,29.833801751956344,1.2343924129381776
"Intersection[Map(IsObject(Cat), IsObject(Cat), GetRight), Map(IsObject(Cat), IsObject(Cat), GetLeft)]",cats,CCE,SmartLabel,True,2.999251125147566,7.851108083035797,6924,1,3,"[4.364868708886206, 1.8550676659215242, 1.6146694589406252]",6.014965834096074,4.72414670791477,0.11016783397644758
"Map(IsObject(Guitar), IsObject(Face), GetAbove)",guitars,CCE,SmartLabel,True,4.972207583021373,2.677871665917337,6035,2,2,"[2.063986459048465, 0.5959941670298576]",6.608551833080128,1.0208731251768768,0.01811225083656609
"Union[IsObject(Guitar), Map(IsObject(Guitar), IsObject(Face), GetAbove)]",guitars,CCE,SmartLabel,True,3.170479124877602,0.9509604999329895,130,1,2,"[0.5192858341615647, 0.4242011660244316]",3.2203368758782744,0.8922156658954918,0.007644748780876398
"Intersection[IsObject(Face), Complement(Map(IsObject(Guitar), IsObject(Face), GetAbove))]",guitars,CCE,SmartLabel,True,5.570785040967166,0.2153144998010248,17,1,2,"[0.16116170794703066, 0.04589633294381201]",5.579020041041076,0.1978869589511305,0.008326999377459288
