GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,# Label Questions,# Input Questions,Time Per Round
"Union[Smile, Map(Smile, IsObject(Face), GetRight)]",wedding,CCE,SmartLabel,True,3.2515659159980714,227.4976483330247,3358,1,336,1349,9.659511472982976,1.1332020997375327,2,2,1,"[105.44700845799525, 121.88411208300386]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetLeft), Map(IsObject(Bride), IsObject(Face), GetRight)]",wedding,CCE,SmartLabel,True,3.5558794579992536,7.917604499991285,4,1,336,1350,9.659511472982976,1.1332020997375327,1,1,0,[7.757370125007583]
"Union[IsObject(Car), IsObject(Bicycle)]",cars,CCE,SmartLabel,True,2.588274041976547,201.63914266700158,3496,29,116,612,15.217532467532468,1.1502403846153846,4,4,3,"[61.5942990409967, 59.30314033399918, 38.8281859169947, 38.966291749995435]"
"Map(Intersection[Smile, EyesOpen], IsObject(Car), GetIsContained)",cars,CCE,SmartLabel,True,3.07089008402545,226.387031708,415,1,116,610,15.217532467532468,1.1502403846153846,6,6,5,"[73.03736599997501, 67.88937937497394, 70.18336104199989, 8.4597197920084, 3.997980792017188, 2.7181360000104178]"
"Map(IsObject(Car), IsObject(Face), GetContains)",cars,CCE,SmartLabel,True,3.626778915990144,947.2110627499933,6080,123,116,562,15.217532467532468,1.1502403846153846,54,54,25,"[69.70710050000343, 70.39408758300124, 71.7447080000129, 66.25942254200345, 66.16528908300097, 65.46285512499162, 64.15731929100002, 56.4111386660079, 54.950612749991706, 48.52951820800081, 46.473500416002935, 23.221961125003872, 14.121011583018117, 13.795369083003607, 13.384494957979769, 12.929986208997434, 12.951198249997105, 12.849440874997526, 12.94167341600405, 9.941003499989165, 8.79443216600339, 8.692313917010324, 8.015585457993438, 7.895335083012469, 8.155529832991306, 7.675002667005174, 7.58262304199161, 7.646550582983764, 7.776755041995784, 7.780440208007349, 5.037577457987936, 3.869258582999464, 3.3858919579943176, 3.0592408750089817, 3.072017375001451, 3.0455722080077976, 3.0038274170074146, 2.921326957992278, 2.758185249986127, 2.571812082984252, 2.629802333016414, 2.4752336660167202, 2.38888008298818, 2.194584292010404, 2.055398333002813, 2.112144584010821, 2.0745931249985006, 2.011796750011854, 2.0114440000033937, 2.0448372499959078, 1.6481305829947814, 1.4266418330080342, 1.29861716699088, 1.3061170000000857]"
Complement(IsObject(Car)),cars,CCE,SmartLabel,True,2.741152082977351,804.5888252499863,43,13,116,588,15.217532467532468,1.1502403846153846,28,28,4,"[51.953730125009315, 50.99659316698671, 50.790917709004134, 50.79990416599321, 51.07451579102781, 51.08310970797902, 51.293111166974995, 51.466991582972696, 26.469507832982345, 26.796799249976175, 27.097480915981578, 26.90294695799821, 26.836930666002445, 26.479629834007937, 20.519042875006562, 20.43312575001619, 15.325489915994694, 15.084092000004603, 15.241606750030769, 16.072249500022735, 16.098412958031986, 16.139100291009527, 16.35333604196785, 16.31018775003031, 16.331665833946317, 16.4536609579809, 16.391820916964207, 16.36618254100904]"
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",cars,CCE,SmartLabel,True,12.30790795898065,129.6899402079871,1739,6,116,605,15.217532467532468,1.1502403846153846,11,11,1,"[6.500227416981943, 51.58804737502942, 7.8992547080270015, 7.961979791987687, 7.922081416996662, 7.857600582996383, 7.8369292500428855, 7.92816341703292, 7.846231249975972, 7.841786166012753, 7.9956156659754924]"
"Map(IsObject(Car), Union[IsObject(Person), IsObject(Bicycle)], GetContains)",cars,CCE,SmartLabel,True,2.9699512500083074,355.2509356670198,75,1,116,610,15.217532467532468,1.1502403846153846,6,6,4,"[92.10173283301992, 98.08107191603631, 97.87676441704389, 29.145477124955505, 20.983183291973546, 16.9994014580152]"
"Intersection[EyesOpen, Complement(Map(IsObject(Car), EyesOpen, GetContains))]",cars,CCE,SmartLabel,True,3.1801971660461277,334.03063141700113,5902,1,116,611,15.217532467532468,1.1502403846153846,5,5,5,"[69.96564604196465, 71.35573241696693, 63.54452425002819, 64.57574229099555, 64.46885233401554]"
"Map(IsObject(Person), IsObject(Car), GetIsContained)",cars,CCE,SmartLabel,True,2.398758542025462,582.2624582090066,2572,1,116,605,15.217532467532468,1.1502403846153846,11,11,5,"[65.34216699999524, 67.15649512497475, 52.902838916983455, 65.45188850001432, 65.43032699998002, 65.21635616599815, 66.30961900000693, 66.65876841696445, 36.042215374996886, 27.702316000009887, 3.9850236249621958]"
"Map(Map(IsObject(Helmet), IsObject(Person), GetBelow), IsObject(Bicycle), GetBelow)",cars,CCE,SmartLabel,True,2.5949122500023805,275.07296233298257,4072,1,116,610,15.217532467532468,1.1502403846153846,6,6,4,"[66.66185087501071, 58.02584387501702, 55.760884166986216, 68.79203370900359, 17.7551662910264, 8.019517334003467]"
"Intersection[IsObject(Bicycle), Complement(Map(IsObject(Person), IsObject(Bicycle), GetBelow))]",cars,CCE,SmartLabel,True,2.664862458012067,522.5843078750186,3874,1,116,607,15.217532467532468,1.1502403846153846,9,9,2,"[60.37742487498326, 62.928916374978144, 60.550445000000764, 58.040753291978035, 57.38013708300423, 57.65740899997763, 59.10099233296933, 53.29319208301604, 53.16176595800789]"
"Intersection[IsObject(Bicycle), Complement(Map(EyesOpen, IsObject(Bicycle), GetBelow))]",cars,CCE,SmartLabel,TIMEOUT,7.238398416957352,1200.0108441659831,6259,7,116,594,15.217532467532468,1.1502403846153846,22,22,6,"[69.51456466701347, 57.57445304200519, 57.309629458992276, 58.02874216600321, 59.2311466250103, 54.260752959002275, 59.382051791995764, 58.476152583025396, 59.63915183296194, 55.63304520800011, 55.00030883302679, 54.69635791698238, 55.73193137499038, 55.46982395899249, 52.36014350003097, 56.295764167036396, 52.94571012497181, 53.77920391596854, 53.01754508400336, 53.02757683303207, 13.73479345900705, 48.520267124986276]"
"Union[IsObject(Bicycle), IsObject(Car), IsObject(Person)]",cars,CCE,SmartLabel,True,2.689540042018052,323.9982784999884,2412,1,116,611,15.217532467532468,1.1502403846153846,5,5,1,"[61.702420332992915, 62.16361429198878, 66.06662062503165, 68.09708308294648, 65.90556024998659]"
"Map(IsObject(Bicycle), Union[Smile, EyesOpen], GetAbove)",cars,CCE,SmartLabel,True,3.109988957992755,314.98273929202696,5663,1,116,608,15.217532467532468,1.1502403846153846,8,8,6,"[70.09170745901065, 77.95223699999042, 90.19191091699759, 43.51346495799953, 13.250959584023803, 7.927040875016246, 6.718143042002339, 5.240755332983099]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Bicycle), IsObject(Face), GetAbove))]",cars,CCE,SmartLabel,True,3.593366666988004,60.58556716598105,2887,1,116,615,15.217532467532468,1.1502403846153846,1,1,1,[60.50004587502917]
"Union[IsObject(Cat), IsObject(Face)]",cats,CCE,SmartLabel,True,1.1710501670022495,11.803668417036533,4761,1,510,1057,2.4373232799245996,1.2250816993464053,4,4,3,"[5.8941221659770235, 4.923322917020414, 0.5926469169789925, 0.38721670798258856]"
"Union[IsObject(Cat), EyesOpen]",cats,CCE,SmartLabel,True,1.202079709037207,99.72666037495947,4761,112,510,1030,2.4373232799245996,1.2250816993464053,31,31,13,"[5.4985313339857385, 4.45447429199703, 4.388310417009052, 4.323390417033806, 4.194569208018947, 4.318780458008405, 4.089542917034123, 4.253100208006799, 4.241208541963715, 4.267965791979805, 4.243769375025295, 4.330211791966576, 4.211464291962329, 2.8800302920280956, 2.408705292036757, 2.3005909170024097, 2.430386207997799, 2.1571330829756334, 2.1017967499792576, 2.359692875004839, 2.2786762079922482, 2.275007624994032, 2.292179583979305, 2.2601433750241995, 2.1980527090490796, 2.205850124999415, 2.2846142079797573, 2.232571000000462, 2.2856139999930747, 2.270157749997452, 2.3086816670256667]"
"Intersection[IsObject(Cat), Complement(Map(IsObject(Cat), IsObject(Cat), GetBelow))]",cats,CCE,SmartLabel,True,1.194390167016536,45.73322404100327,4761,1,510,1050,2.4373232799245996,1.2250816993464053,11,11,6,"[5.81281116703758, 4.577194374985993, 4.526710290985648, 4.698201459017582, 4.593164667021483, 4.559619667008519, 4.729585624998435, 4.709355958038941, 2.9473264159751125, 2.4340461249812506, 2.132869834022131]"
"Intersection[Map(IsObject(Cat), IsObject(Cat), GetRight), Map(IsObject(Cat), IsObject(Cat), GetLeft)]",cats,CCE,SmartLabel,True,2.4947693750145845,4.633097417012323,4792,1,510,1059,2.4373232799245996,1.2250816993464053,2,2,0,"[2.037991624965798, 2.5777210000087507]"
"Map(IsObject(Guitar), IsObject(Face), GetAbove)",festival,CCE,SmartLabel,True,3.317249833024107,476.46024162502727,995,1,338,1520,13.528524590163935,1.1565137130801688,5,5,4,"[188.66008541703923, 215.74258120800368, 53.50617629097542, 13.679391791985836, 4.8010414589662105]"
"Union[IsObject(Guitar), Map(IsObject(Guitar), IsObject(Face), GetAbove)]",festival,CCE,SmartLabel,True,1.9927488749963231,0.1259644590318203,1,1,338,1525,13.528524590163935,1.1565137130801688,0,0,0,[]
"Intersection[IsObject(Face), Complement(Map(IsObject(Guitar), IsObject(Face), GetAbove))]",festival,CCE,SmartLabel,True,5.396034208009951,157.55535999999847,683,1,338,1524,13.528524590163935,1.1565137130801688,1,1,1,[157.36828995798714]
